experiment raw name,data type,tester,sample name,weight,diameter,height,data collection timestamp
Maack 8.2 Drucklversuch Probe BK 02 B,DATFile,Kh,Maack 8.2 Drucklversuch Probe BK 02 B,"3684,7","100,5","193,7",17.07.2014 13:34:06
Hüsken Probe 3-2,DATFile,"Be, Mac",Hüsken Probe 3-2,1946,100,"100,3",18.03.2014 15:05:58
Hüsken Probe 1-2,DATFile,"Be, Mac",Hüsken Probe 1-2,1957,100,"100,3",18.03.2014 14:44:26
Hüsken Probe 3-3,DATFile,"Be, Mac",Hüsken Probe 3-3,1952,100,"100,2",18.03.2014 15:10:45
Hüsken Probe 1-3,DATFile,"Be, Mac",Hüsken Probe 1-3,1946,100,"100,3",18.03.2014 14:49:45
Hüsken Probe 2-2,DATFile,"Be, Mac",Hüsken Probe 2-2,1950,100,"100,1",18.03.2014 14:55:22
Wolf 8.2 Probe 6,DATFile,Kh,Wolf 8.2 Probe 6,"5368,3",100,"300,3",28.01.2015 10:46:55
Maack 8.2 Druckversuch Probe BK 04 B,DATFile,Kh,Maack 8.2 Druckversuch Probe BK 04 B,"577,8","100,4","300,5",17.07.2014 13:10:39
Wolf 8.2 Probe 2,DATFile,Kh,Wolf 8.2 Probe 2,5328,100,"98,6",28.01.2015 10:35:28
Wolf 8.2 Probe 3,DATFile,Kh,Wolf 8.2 Probe 3,"5369,2",100,"98,6",28.01.2015 10:41:42
Hüsken Probe 2-3,DATFile,"Be, Mac",Hüsken Probe 2-3,1947,100,"100,3",18.03.2014 15:00:32
